FAO Monthly Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
10-Sep,114.1,92.5,116,125.9,124.8,138.7
10-Oct,120.1,94,121.4,130.6,139.1,152.3
10-Nov,124.1,96.1,118.7,132.4,153.8,162.8
10-Dec,129.3,97.4,117.4,139.7,166.2,173.8
11-Jan,133.7,97.6,122.8,144.9,174.4,183.2
11-Feb,137.6,100.3,130.3,151.4,175.4,182.4
11-Mar,134.3,103.5,135.8,145.5,163,162.4
11-Apr,136.4,107.7,134.5,151.7,162.7,150.7
11-May,135.2,108.1,134.2,150.9,162.3,136.2
11-Jun,134.9,106.9,135.3,147.1,160.7,156
11-Jul,133.2,106.5,133.6,140.5,156,174.6
11-Aug,133,105.6,131.9,144.9,151.4,171.7
11-Sep,130.4,106.9,127.1,140.5,147.8,165.3
11-Oct,125.7,106.2,126.2,133.1,137.9,157.5
11-Nov,126.1,108.3,125.1,130.9,144.9,148.2
11-Dec,122.1,106.5,122,124.4,140.4,142.6
12-Jan,122.4,103.1,120.3,127.2,144.3,145.8
12-Feb,125.4,105.6,121.2,131.1,148.3,149.3
12-Mar,125.8,106.5,118.1,130.6,152.4,149.1
12-Apr,124.4,105.7,112.5,129.1,156.2,141.3
12-May,119,103.7,105.5,126.3,144.3,128.5
12-Jun,115.9,101.4,102.3,125.3,135.2,126.7
12-Jul,122.1,100.4,99.7,143.9,138.5,141.4
12-Aug,123.3,103.1,102,147.1,138.3,129.2
12-Sep,125.2,107,111,146.8,136.9,123.7
12-Oct,124,108,114.2,146.5,124.8,125.7
12-Nov,123.6,107.7,114.9,148.5,121.5,119.7
12-Dec,122.9,107.4,118.1,146.4,118.3,119.5
13-Jan,123.4,106.5,121,145.2,124.2,116.8
13-Feb,123.2,107.6,123.8,142.3,125.5,113
13-Mar,122.9,108,128,139.9,122.3,114.3
13-Apr,122.9,108.7,140.8,134.9,120.6,110.2
13-May,122.1,105.5,140,136.4,121,109.1
13-Jun,120.9,105,140.3,133.8,120.6,105.8
13-Jul,117.9,104.5,141,126.4,116.2,104.2
13-Aug,116.1,105.5,145.6,119.2,111.8,105.4
13-Sep,116.4,106.1,149,116.7,112.9,107.5
13-Oct,118.7,106.4,153,118.7,116,115.5
13-Nov,118.7,105.6,151.9,118,121.9,109.3
13-Dec,118.2,104.6,156.5,117.9,120.3,102.4
14-Jan,116.2,103.2,156.2,117,115.5,96.7
14-Feb,118.5,103.6,156.4,119.7,120.8,102.6
14-Mar,122.1,106.2,154.8,125.4,125.3,110.8
14-Apr,121.4,109.7,147.3,125.5,121.5,109
14-May,121.3,112.1,141.8,125.2,119.1,113.1
14-Jun,119.3,116.2,136.1,118.7,115.2,112.5
14-Jul,116.4,117.8,130.2,112.2,110.6,113
14-Aug,113,119.2,120.6,110.4,101.6,106.6
14-Sep,109.4,117.9,110.8,107.4,98.6,99.5
14-Oct,109.4,117.2,107.1,108.2,100.1,103.6
14-Nov,108.2,115.1,102.6,109.3,100.8,100.2
14-Dec,105.2,108.8,98.5,110.9,97.9,94.8
15-Jan,100.7,103.8,92.4,105.9,95,95
15-Feb,98.5,100.5,95.2,101.6,95.2,90.3
15-Mar,95.6,96.8,95.1,99.5,92.6,82
15-Apr,94.7,97.7,90.6,98.2,91.9,80.9
15-May,95,99.5,89.9,95.7,94.5,82.6
15-Jun,94.5,98.6,87.7,96.7,95.9,77.1
15-Jul,93.8,99.1,82.2,98.9,90.5,79
15-Aug,89.6,99.2,79.9,91.9,82.3,71.2
15-Sep,89,97.1,83.2,90.5,82,73.4
15-Oct,90.4,92.4,88,91.7,87.8,86.1
15-Nov,87.7,89.1,80.5,90.5,85.2,90
15-Dec,87.1,87,81,89.4,86.7,90.6
16-Jan,84.9,84.2,79.4,87.6,85.3,86.9
16-Feb,86,85.9,78.8,87.3,92.2,81.6
16-Mar,87.4,86.1,76.7,86.5,97.3,95.5
16-Apr,89.2,87.9,77.1,88.4,101.2,93.9
16-May,90.6,90.2,72.7,91.1,99.6,104.8
16-Jun,93.8,94.3,73.9,94.1,97.9,120.4
16-Jul,93,95.3,76,90.4,94.9,121.6
16-Aug,95.3,96.4,81.8,89.3,102.4,124.6
16-Sep,96.1,94.9,90.9,86.3,104.3,132.9
16-Oct,95.9,93,93.8,86.7,101.8,137.5
16-Nov,95.8,93.4,94.5,86,106.1,125.2
16-Dec,95.1,90.7,96.2,86.1,110.2,114.5
17-Jan,97.7,91.9,98.6,88.7,112.2,125.8
17-Feb,98.1,93.9,99.2,90,108,125.6
17-Mar,96.2,95.7,100.6,87.9,101.6,111.9
17-Apr,95.1,97.6,100,86.9,97.6,101.7
17-May,97.4,99.5,104.8,88.3,102,99.4
17-Jun,98,100.7,109.7,92.4,97.5,86
17-Jul,100.2,101.2,113.9,96.9,96.7,90.5
17-Aug,99.3,100.3,116.9,92.3,99.2,88.9
17-Sep,99.9,99.2,118.4,92.1,103.8,89
17-Oct,98.9,98.4,115.4,91.8,102.7,88.7
17-Nov,98.9,98.4,111.4,92.2,103.8,92.7
17-Dec,96.4,96.1,107.3,92.4,98,89
18-Jan,96.7,95.6,106,95,98.3,87.2
18-Feb,97.8,97,108.8,98.2,95.6,83.9
18-Mar,99,97.2,111.3,101.6,95.4,80.9
18-Apr,98.5,95.9,110,103.7,94,76.8
18-May,98.6,95.3,111.4,105.2,92.2,76.4
18-Jun,96.9,95.1,112.3,100.6,89.4,77.4
18-Jul,95,94.6,110.1,98.2,86.9,72.5
18-Aug,95.9,95.8,108.5,103.2,84.5,68.6
18-Sep,94.2,94.1,108.3,100.2,82.4,70.4
18-Oct,93.3,92.3,102.8,100.7,81.4,76.5
18-Nov,92.2,92.9,100,99.5,76.6,79.9
18-Dec,92.2,92.9,97.8,100.9,76.9,78.3
19-Jan,93.2,92.3,100.9,101.5,80.3,79.3
19-Feb,94,93.1,103.8,100.6,81.8,80.3
19-Mar,93.1,94.6,105.6,97.4,78.5,78.7
19-Apr,93.6,97.8,106.1,94.5,79.2,79.3
19-May,94.2,100.5,106.6,94.1,78.6,76.7
19-Jun,95.3,101.2,102.9,98.7,77.5,79.9
19-Jul,95.1,102.4,101.1,97.3,78.1,79.4
19-Aug,94,102.3,100.3,92.3,82.6,76.2
19-Sep,93.3,101,99.6,91.6,83.9,73.5
19-Oct,95.2,101.6,100.8,95.7,84.1,77.8
19-Nov,98.6,106.5,102.5,95.4,93.2,79.2
19-Dec,101,106.6,103.5,97.2,101.5,83
20-Jan,102.5,103.8,103.8,100.5,108.7,87.5
20-Feb,99.4,100.6,102.9,99.4,97.6,91.4
20-Mar,95.1,99.5,101.5,97.7,85.5,73.9
20-Apr,92.4,96.9,95.8,99.3,81.2,63.2
20-May,91.1,95.7,94.4,97.5,77.8,67.8
20-Jun,93.2,95.2,98.2,96.9,86.6,75
