TIME	GEO	UNIT	INDX	COICOP	Value	Flag and Footnotes		
2005M12	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	84.7	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Pork	95.5	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	81.5	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.7	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M12	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	91.5	e
2005M12	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	93	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	93	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	93	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Eggs	80	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	59.3	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Butter	93.3	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M12	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	59.3	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Fruit	75.1	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Vegetables	83.7	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Potatoes	77.9	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Sugar	121.4	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	72.7	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	64.3	e	
2005M12	France	Index	 2015=100	Agricultural commodity price index	Beer	62.7	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Food	77.6	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	63.4	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Bread	59.7	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Meat	87.3	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	87	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Pork	98	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	81.6	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Poultry	76	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2006M01	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	89.3	e
2006M01	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	90.9	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	90.9	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	90.9	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Eggs	75.4	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	57.4	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Butter	91.3	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2006M01	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	57.4	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Fruit	76.8	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Vegetables	98.4	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Potatoes	78.9	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Sugar	121	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	74.3	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	66.3	e	
2006M01	France	Index	 2015=100	Agricultural commodity price index	Beer	62.6	e	
2006M02	France	Index	 2015=100	Agricultural commodity price index	Food	78	e	
2006M02	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	63.1	e	
2006M02	France	Index	 2015=100	Agricultural commodity price index	Bread	59.5	e	
2006M02	France	Index	 2015=100	Agricultural commodity price index	Meat	88.6	e	
2006M02	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	88.9	e	
